ORDEN,SUBORDEN,FAMILIA,SUBFAMILIA ,TRIBU,ESPECIE,REFERENCIA,ESPECIES ESPERADAS,NOTAS
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,NYCTOMYINI,"Nyctomys sumichrasti Saussure, 1860 ",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,NYCTOMYINI,"Ototylomys phyllotis Merriam, 1901",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,SIGMODONTINAE ,NYCTOMYINI," Tylomys watsoni Thomas, 1899* ",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,NEOTOMINAE ,BAIOMYINI ,"Scotinomys teguina (Alston, 1877)",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,NEOTOMINAE ,BAIOMYINI ," Scotinomys xerampelinus (Bangs, 1902)* ",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,NEOTOMINAE ,REITHRODONTOMYINI,"Peromyscus nudipes (J. A. Allen, 1891)",Perez-Consuegra & Vásquez-Domínguez 2015,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,NEOTOMINAE ,REITHRODONTOMYINI,Peromyscus nicaraguae,Bradley et al 2016,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,NEOTOMINAE ,REITHRODONTOMYINI,"Reithrodontomys brevirostris Goodwin, 1943***",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,NEOTOMINAE ,REITHRODONTOMYINI,"Reithrodontomys creper Bangs, 1902*",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,NEOTOMINAE ,REITHRODONTOMYINI,"Reithrodontomys gracilis J. A. Allen y Chapman, 1897",,,
RODENTIA,MYOMORPHA ,CRICETIDAE ,NEOTOMINAE ,REITHRODONTOMYINI,Reithrodontomys cherrii**,Gardner & Carleton 2009,,
